id,total_len,previous_cost,synthesis_len,cost
IO_16.dna,11485,918.8000000000001,10962,876.96
IO_8.dna,11609,928.72,11086,886.88
SC_1.dna,9365,749.2,3405,272.4
EC_18.dna,8767,701.36,8767,701.36
EC_5.dna,10051,804.08,5042,403.36
EC_4.dna,10396,831.6800000000001,10396,831.6800000000001
EC_19.dna,7727,618.16,2718,217.44
IO_9.dna,11340,907.2,10817,865.36
IO_17.dna,11609,928.72,11086,886.88
HEK_1.dna,5423,433.84000000000003,1530,122.4
HEK_3.dna,5551,444.08,1658,132.64000000000001
IO_15.dna,11340,907.2,10817,865.36
SC_2.dna,9385,750.8000000000001,3880,310.40000000000003
EC_6.dna,8594,687.52,8594,687.52
EC_7.dna,9473,757.84,4464,357.12
SC_3.dna,9385,750.8000000000001,3406,272.48
HEK_2.dna,5711,456.88,1818,145.44
IO_14.dna,11754,940.32,11231,898.48
IO_10.dna,12023,961.84,11500,920.0
HEK_6.dna,7203,576.24,3310,264.8
SC_7.dna,9405,752.4,4581,366.48
EC_22.dna,6081,486.48,1072,85.76
EC_3.dna,10507,840.5600000000001,5498,439.84000000000003
EC_2.dna,9628,770.24,9628,770.24
SC_6.dna,9385,750.8000000000001,4106,328.48
IO_11.dna,12023,961.84,11500,920.0
HEK_7.dna,7493,599.44,3336,266.88
HEK_5.dna,9045,723.6,5152,412.16
IO_13.dna,11754,940.32,11231,898.48
SC_4.dna,9385,750.8000000000001,3880,310.40000000000003
EC_21.dna,6054,484.32,6054,484.32
EC_1.dna,9017,721.36,4008,320.64
EC_20.dna,7673,613.84,2664,213.12
SC_5.dna,9384,750.72,3405,272.4
HEK_4.dna,7711,616.88,3818,305.44
IO_12.dna,11754,940.32,11231,898.48
HEK_18.dna,5877,470.16,1984,158.72
HEK_19.dna,7683,614.64,4621,369.68
SC_18.dna,9405,752.4,4107,328.56
SC_24.dna,9404,752.32,3880,310.40000000000003
SC_25.dna,9403,752.24,3405,272.4
SC_19.dna,9405,752.4,4581,366.48
AT_9.dna,18137,1450.96,7174,573.92
SC_21.dna,9384,750.72,3405,272.4
SC_20.dna,9404,752.32,4106,328.48
AT_8.dna,14865,1189.2,4205,336.40000000000003
SC_22.dna,9404,752.32,3880,310.40000000000003
SC_23.dna,9404,752.32,3406,272.48
HEK_11.dna,5519,441.52,1382,110.56
AT_6.dna,14061,1124.88,3401,272.08
SC_12.dna,9405,752.4,3881,310.48
SC_13.dna,9405,752.4,3407,272.56
AT_7.dna,15000,1200.0,4907,392.56
HEK_10.dna,5567,445.36,1674,133.92000000000002
HEK_12.dna,6975,558.0,3082,246.56
AT_5.dna,15096,1207.68,5003,400.24
SC_11.dna,9385,750.8000000000001,3406,272.48
SC_10.dna,9404,752.32,4106,328.48
AT_4.dna,14157,1132.56,3497,279.76
HEK_13.dna,5943,475.44,2050,164.0
HEK_17.dna,5819,465.52,1926,154.08
SC_14.dna,9405,752.4,3881,310.48
AT_10.dna,17518,1401.44,5120,409.6
SC_15.dna,9404,752.32,3406,272.48
AT_1.dna,11902,952.16,2928,234.24
HEK_16.dna,5879,470.32,1986,158.88
HEK_14.dna,6019,481.52,2126,170.08
AT_3.dna,14599,1167.92,4782,382.56
SC_17.dna,9405,752.4,4581,366.48
SC_16.dna,9385,750.8000000000001,4106,328.48
AT_2.dna,14203,1136.24,4975,398.0
HEK_15.dna,6081,486.48,2188,175.04
HEK_9.dna,5449,435.92,1556,124.48
HighGC_4.dna,13142,1051.3600000000001,13142,1051.3600000000001
IO_1.dna,11754,940.32,11231,898.48
EC_11.dna,10081,806.48,5072,405.76
SC_8.dna,9405,752.4,4107,328.56
EC_10.dna,8713,697.04,8713,697.04
SC_9.dna,9405,752.4,4581,366.48
HEK_8.dna,5507,440.56,1614,129.12
IO_20.dna,10664,853.12,8899,711.92
IO_2.dna,12023,961.84,11500,920.0
EC_12.dna,10426,834.08,5417,433.36
EC_13.dna,10537,842.96,5528,442.24
IO_3.dna,12023,961.84,11500,920.0
IO_21.dna,10664,853.12,8899,711.92
HighGC_2.dna,13142,1051.3600000000001,13142,1051.3600000000001
IO_19.dna,11495,919.6,10972,877.76
IO_7.dna,11609,928.72,11086,886.88
EC_17.dna,9443,755.44,4434,354.72
EC_16.dna,9332,746.5600000000001,9332,746.5600000000001
IO_6.dna,11640,931.2,11117,889.36
HighGC_3.dna,13142,1051.3600000000001,13142,1051.3600000000001
IO_18.dna,11609,928.72,11086,886.88
HighGC_1.dna,13142,1051.3600000000001,13142,1051.3600000000001
IO_4.dna,11909,952.72,11386,910.88
EC_14.dna,8987,718.96,3978,318.24
EC_9.dna,8791,703.28,8791,703.28
EC_8.dna,9362,748.96,9362,748.96
EC_15.dna,8987,718.96,3978,318.24
IO_5.dna,11909,952.72,11386,910.88
