id,total_len,previous_cost,synthesis_len,cost
HEK_1.dna,5423,433.84000000000003,1530,122.4
HEK_3.dna,5551,444.08,1658,132.64000000000001
HEK_2.dna,5711,456.88,1818,145.44
HEK_6.dna,7203,576.24,3310,264.8
HEK_7.dna,7493,599.44,3336,266.88
HEK_5.dna,9045,723.6,5152,412.16
HEK_4.dna,7711,616.88,3818,305.44
HEK_18.dna,5877,470.16,1984,158.72
HEK_19.dna,7683,614.64,4621,369.68
HEK_11.dna,5519,441.52,1382,110.56
HEK_10.dna,5567,445.36,1674,133.92000000000002
HEK_12.dna,6975,558.0,3082,246.56
HEK_13.dna,5943,475.44,2050,164.0
HEK_17.dna,5819,465.52,1926,154.08
HEK_16.dna,5879,470.32,1986,158.88
HEK_14.dna,6019,481.52,2126,170.08
HEK_15.dna,6081,486.48,2188,175.04
HEK_9.dna,5449,435.92,1556,124.48
HEK_8.dna,5507,440.56,1614,129.12
