id,total_len,synthesis_len,cost
EC_18.dna,8767,7120,569.6
EC_5.dna,10051,3729,298.32
EC_4.dna,10396,10396,831.6800000000001
EC_19.dna,7727,0,0.0
EC_6.dna,8594,5895,471.6
EC_7.dna,9473,1738,139.04
EC_22.dna,6081,0,0.0
EC_3.dna,10507,5471,437.68
EC_2.dna,9628,9628,770.24
EC_21.dna,6054,1022,81.76
EC_1.dna,9017,0,0.0
EC_20.dna,7673,1588,127.04
EC_11.dna,10081,2112,168.96
EC_10.dna,8713,8713,697.04
EC_12.dna,10426,3739,299.12
EC_13.dna,10537,3850,308.0
EC_17.dna,9443,3354,268.32
EC_16.dna,9332,8279,662.32
EC_14.dna,8987,1612,128.96
EC_9.dna,8791,2112,168.96
EC_8.dna,9362,6663,533.04
EC_15.dna,8987,2925,234.0
