id,total_len,synthesis_len,cost
SC_1.dna,9365,0,0.0
SC_2.dna,9385,699,55.92
SC_3.dna,9385,0,0.0
SC_7.dna,9405,3055,244.4
SC_6.dna,9385,699,55.92
SC_4.dna,9385,696,55.68
SC_5.dna,9384,0,0.0
SC_18.dna,9405,3051,244.08
SC_24.dna,9404,696,55.68
SC_25.dna,9403,0,0.0
SC_19.dna,9405,3052,244.16
SC_21.dna,9384,0,0.0
SC_20.dna,9404,3055,244.4
SC_22.dna,9404,699,55.92
SC_23.dna,9404,0,0.0
SC_12.dna,9405,699,55.92
SC_13.dna,9405,0,0.0
SC_11.dna,9385,0,0.0
SC_10.dna,9404,3055,244.4
SC_14.dna,9405,696,55.68
SC_15.dna,9404,0,0.0
SC_17.dna,9405,3055,244.4
SC_16.dna,9385,696,55.68
SC_8.dna,9405,3051,244.08
SC_9.dna,9405,3052,244.16
