id,total_len,synthesis_len,cost
SC_1.dna,9365,3405,272.4
SC_2.dna,9385,3880,310.40000000000003
SC_3.dna,9385,3406,272.48
SC_7.dna,9405,4581,366.48
SC_6.dna,9385,4106,328.48
SC_4.dna,9385,3880,310.40000000000003
SC_5.dna,9384,3405,272.4
SC_18.dna,9405,4107,328.56
SC_24.dna,9404,3880,310.40000000000003
SC_25.dna,9403,3405,272.4
SC_19.dna,9405,4581,366.48
SC_21.dna,9384,3405,272.4
SC_20.dna,9404,4106,328.48
SC_22.dna,9404,3880,310.40000000000003
SC_23.dna,9404,3406,272.48
SC_12.dna,9405,3881,310.48
SC_13.dna,9405,3407,272.56
SC_11.dna,9385,3406,272.48
SC_10.dna,9404,4106,328.48
SC_14.dna,9405,3881,310.48
SC_15.dna,9404,3406,272.48
SC_17.dna,9405,4581,366.48
SC_16.dna,9385,4106,328.48
SC_8.dna,9405,4107,328.56
SC_9.dna,9405,4581,366.48
