id,total_len,synthesis_len,cost
IO_16.dna,11485,10962,876.96
IO_8.dna,11609,11086,886.88
IO_9.dna,11340,10817,865.36
IO_17.dna,11609,11086,886.88
IO_15.dna,11340,10817,865.36
IO_14.dna,11754,11231,898.48
IO_10.dna,12023,11500,920.0
IO_11.dna,12023,11500,920.0
IO_13.dna,11754,11231,898.48
IO_12.dna,11754,11231,898.48
IO_1.dna,11754,11231,898.48
IO_20.dna,10664,8899,711.92
IO_2.dna,12023,11500,920.0
IO_3.dna,12023,11500,920.0
IO_21.dna,10664,8899,711.92
IO_19.dna,11495,10972,877.76
IO_7.dna,11609,11086,886.88
IO_6.dna,11640,11117,889.36
IO_18.dna,11609,11086,886.88
IO_4.dna,11909,11386,910.88
IO_5.dna,11909,11386,910.88
