id,total_len,synthesis_len,cost
IO_16.dna,11485,0,0.0
IO_8.dna,11609,186,14.88
IO_9.dna,11340,186,14.88
IO_17.dna,11609,0,0.0
IO_15.dna,11340,0,0.0
IO_14.dna,11754,600,48.0
IO_10.dna,12023,600,48.0
IO_11.dna,12023,600,48.0
IO_13.dna,11754,600,48.0
IO_12.dna,11754,0,0.0
IO_1.dna,11754,0,0.0
IO_20.dna,10664,6891,551.28
IO_2.dna,12023,1200,96.0
IO_3.dna,12023,600,48.0
IO_21.dna,10664,6891,551.28
IO_19.dna,11495,486,38.88
IO_7.dna,11609,786,62.88
IO_6.dna,11640,485,38.800000000000004
IO_18.dna,11609,600,48.0
IO_4.dna,11909,1086,86.88
IO_5.dna,11909,485,38.800000000000004
